,Date,Team_1,Team_2,Winner,Margin,Ground,Winner 
370,25-04-2019,Mexico,Belize,Belize,4 wickets,Naucalpan,
371,25-04-2019,Costa Rica,Panama,Panama,7 wickets,Naucalpan,
372,26-04-2019,Mexico,Costa Rica,Mexico,3 wickets,Naucalpan,
373,26-04-2019,Belize,Panama,Belize,9 runs,Naucalpan,
374,27-04-2019,Belize,Costa Rica,Belize,5 wickets,Naucalpan,
375,27-04-2019,Mexico,Panama,Panama,33 runs,Naucalpan,
376,05-05-2019,England,Pakistan,England,7 wickets,Cardiff,
377,11-05-2019,Belgium,Germany,Germany,9 runs,Waterloo,
378,11-05-2019,Belgium,Germany,Germany,62 runs,Waterloo,
379,12-05-2019,Belgium,Germany,Germany,6 wickets,Waterloo,
380,20-05-2019,Kenya,Nigeria,Kenya,8 wickets,Kampala,
381,20-05-2019,Ghana,Namibia,Namibia,9 wickets,Kampala,
382,20-05-2019,Uganda,Botswana,Uganda,52 runs,Kampala,
383,21-05-2019,Uganda,Namibia,Namibia,42 runs,Kampala,
384,21-05-2019,Botswana,Nigeria,Nigeria,11 runs,Kampala,
385,21-05-2019,Ghana,Kenya,Kenya,53 runs,Kampala,
386,22-05-2019,Ghana,Nigeria,Nigeria,28 runs,Kampala,
387,22-05-2019,Botswana,Namibia,Namibia,10 wickets,Kampala,
388,22-05-2019,Uganda,Kenya,Kenya,1 run,Kampala,
389,23-05-2019,Uganda,Ghana,Uganda,7 wickets,Kampala,
390,25-05-2019,Germany,Italy,Italy,7 wickets,Utrecht,
391,25-05-2019,Germany,Italy,Italy,6 wickets,Utrecht,
392,31-05-2019,Guernsey,Jersey,tied,,St Peter Port,
393,01-06-2019,Guernsey,Jersey,Jersey,41 runs,Castel,
394,01-06-2019,Guernsey,Jersey,Jersey,76 runs,Castel,
395,15-06-2019,Guernsey,Jersey,Jersey,8 wickets,Castel,
396,15-06-2019,Italy,Norway,Italy,20 runs,St Peter Port,
397,15-06-2019,Guernsey,Germany,Germany,5 wickets,Castel,
398,16-06-2019,Germany,Italy,Italy,5 wickets,St Peter Port,
399,16-06-2019,Denmark,Jersey,Jersey,18 runs,Castel,
400,16-06-2019,Guernsey,Italy,Italy,11 runs,St Peter Port,
401,16-06-2019,Jersey,Norway,Jersey,80 runs,Castel,
402,17-06-2019,Denmark,Norway,Denmark,46 runs,Castel,
403,18-06-2019,Guernsey,Denmark,no result,,Castel,
404,18-06-2019,Denmark,Italy,no result,,Castel,
405,19-06-2019,Guernsey,Norway,Guernsey,4 wickets,Castel,
406,19-06-2019,Italy,Jersey,Jersey,73 runs,St Peter Port,
407,19-06-2019,Denmark,Germany,Germany,7 wickets,Castel,
408,20-06-2019,Guernsey,Denmark,Guernsey,6 runs,Castel,
409,20-06-2019,Germany,Norway,Germany,7 wickets,St Peter Port,
410,20-06-2019,Denmark,Italy,Denmark,30 runs,Castel,
411,20-06-2019,Germany,Jersey,Germany,3 wickets,St Peter Port,
412,23-06-2019,Netherlands,Zimbabwe,Netherlands,49 runs,Rotterdam,
413,24-06-2019,Malaysia,Thailand,Malaysia,5 wickets,Kuala Lumpur,
414,25-06-2019,Malaysia,Maldives,Malaysia,73 runs,Kuala Lumpur,
415,25-06-2019,Netherlands,Zimbabwe,tied,,Rotterdam,
416,26-06-2019,Maldives,Thailand,Maldives,2 wickets,Kuala Lumpur,
417,27-06-2019,Malaysia,Thailand,Malaysia,8 wickets,Kuala Lumpur,
418,28-06-2019,Malaysia,Maldives,no result,,Kuala Lumpur,
419,29-06-2019,Maldives,Thailand,Thailand,5 wickets,Kuala Lumpur,
420,04-07-2019,Qatar,Kuwait,Kuwait,7 wickets,Doha,
421,05-07-2019,Qatar,Kuwait,tied,,Doha,
422,06-07-2019,Qatar,Kuwait,Qatar,3 wickets,Doha,
423,08-07-2019,Samoa,P.N.G.,P.N.G.,9 wickets,Apia (No 1),
424,09-07-2019,P.N.G.,Vanuatu,P.N.G.,3 wickets,Apia (No 3),
425,09-07-2019,Samoa,Vanuatu,Samoa,2 wickets,Apia (No 1),
426,10-07-2019,Samoa,P.N.G.,P.N.G.,7 wickets,Apia (No 2),
427,12-07-2019,Samoa,Vanuatu,Vanuatu,32 runs,Apia (No 3),
428,12-07-2019,P.N.G.,Vanuatu,P.N.G.,59 runs,Apia (No 2),
429,12-07-2019,Ireland,Zimbabwe,Ireland,9 wickets,Bready,
430,13-07-2019,P.N.G.,Vanuatu,P.N.G.,32 runs,Apia (No 2),
431,13-07-2019,Malaysia,Nepal,Nepal,7 wickets,Kuala Lumpur,
432,13-07-2019,Denmark,Finland,Denmark,1 run,Brondby,
433,13-07-2019,Denmark,Finland,Denmark,38 runs,Brondby,
434,14-07-2019,Malaysia,Nepal,Nepal,6 runs,Kuala Lumpur,
435,14-07-2019,Ireland,Zimbabwe,Zimbabwe,8 wickets,Bready,
436,22-07-2019,Singapore,Qatar,Singapore,33 runs,Singapore,
437,22-07-2019,Kuwait,Malaysia,Malaysia,42 runs,Singapore,
438,23-07-2019,Nepal,Qatar,Qatar,4 wickets,Singapore,
439,24-07-2019,Malaysia,Nepal,Nepal,7 wickets,Singapore,
440,26-07-2019,Kuwait,Qatar,Kuwait,10 runs,Singapore,
441,26-07-2019,Singapore,Malaysia,Singapore,8 wickets,Singapore,
442,27-07-2019,Kuwait,Nepal,Nepal,7 wickets,Singapore,
443,27-07-2019,Malaysia,Qatar,Qatar,4 wickets,Singapore,
444,28-07-2019,Singapore,Nepal,Singapore,82 runs,Singapore,
445,03-08-2019,Netherlands,U.A.E.,U.A.E.,13 runs,Amstelveen,
446,03-08-2019,India,West Indies,India,4 wickets,Lauderhill,
447,04-08-2019,India,West Indies,India,22 runs,Lauderhill,
448,05-08-2019,Netherlands,U.A.E.,U.A.E.,5 wickets,Amstelveen,
449,06-08-2019,Netherlands,U.A.E.,U.A.E.,14 runs,The Hague,
450,06-08-2019,West Indies,India,India,7 wickets,Providence,
451,08-08-2019,Netherlands,U.A.E.,U.A.E.,7 wickets,The Hague,
452,17-08-2019,Finland,Spain,Finland,82 runs,Kerava,
453,17-08-2019,Finland,Spain,Spain,6 wickets,Kerava,
454,18-08-2019,Finland,Spain,Spain,4 wickets,Kerava,
455,18-08-2019,Bermuda,U.S.A.,Bermuda,6 runs,Sandys Parish,
456,18-08-2019,Canada,Cayman Is,Canada,84 runs,Sandys Parish,
457,19-08-2019,Namibia,Botswana,Namibia,93 runs,Windhoek,
458,19-08-2019,Bermuda,Canada,no result,,Hamilton,
459,19-08-2019,Cayman Is,U.S.A.,U.S.A.,10 runs,Hamilton,
460,20-08-2019,Namibia,Botswana,Namibia,124 runs,Windhoek,
461,21-08-2019,Bermuda,Cayman Is,Bermuda,6 wickets,Sandys Parish,
462,21-08-2019,Canada,U.S.A.,Canada,4 wickets,Sandys Parish,
463,22-08-2019,Namibia,Botswana,Namibia,78 runs,Windhoek,
464,22-08-2019,Canada,Cayman Is,Canada,8 wickets,Sandys Parish,
465,22-08-2019,Bermuda,U.S.A.,Bermuda,4 wickets,Sandys Parish,
466,23-08-2019,Namibia,Botswana,Namibia,8 wickets,Windhoek,
467,24-08-2019,Cayman Is,U.S.A.,U.S.A.,9 wickets,Sandys Parish,
468,24-08-2019,Bermuda,Canada,Canada,8 wickets,Sandys Parish,
469,25-08-2019,Canada,U.S.A.,Canada,15 runs,Sandys Parish,
470,25-08-2019,Bermuda,Cayman Is,Bermuda,6 wickets,Sandys Parish,
471,29-08-2019,Romania,Austria,Romania,31 runs,Ilfov County,
472,29-08-2019,Luxembourg,Turkey,Luxembourg,8 wickets,Ilfov County,
473,29-08-2019,Romania,Turkey,Romania,173 runs,Ilfov County,
474,30-08-2019,Austria,Czech Rep.,Austria,8 wickets,Ilfov County,
475,30-08-2019,Romania,Luxembourg,Romania,7 wickets,Ilfov County,
476,30-08-2019,Czech Rep.,Turkey,Czech Rep.,257 runs,Ilfov County,
477,31-08-2019,Austria,Luxembourg,Austria,135 runs,Ilfov County,
478,31-08-2019,Romania,Czech Rep.,Czech Rep.,6 wickets,Ilfov County,
479,31-08-2019,Austria,Turkey,Austria,10 wickets,Ilfov County,
480,01-09-2019,Czech Rep.,Luxembourg,Czech Rep.,6 wickets,Ilfov County,
481,01-09-2019,Austria,Czech Rep.,Austria,30 runs,Ilfov County,
482,01-09-2019,Sri Lanka,New Zealand,New Zealand,5 wickets,Pallekele,
483,03-09-2019,Sri Lanka,New Zealand,New Zealand,4 wickets,Pallekele,
484,06-09-2019,Sri Lanka,New Zealand,Sri Lanka,37 runs,Pallekele,
485,13-09-2019,Bangladesh,Zimbabwe,Bangladesh,3 wickets,Mirpur,
486,14-09-2019,Afghanistan,Zimbabwe,Afghanistan,28 runs,Mirpur,
487,15-09-2019,Bangladesh,Afghanistan,Afghanistan,25 runs,Mirpur,
488,16-09-2019,Netherlands,Scotland,Scotland,58 runs,Dublin (Malahide),
489,17-09-2019,Ireland,Scotland,Ireland,4 wickets,Dublin (Malahide),
490,18-09-2019,Bangladesh,Zimbabwe,Bangladesh,39 runs,Chattogram,
491,18-09-2019,Ireland,Netherlands,Netherlands,6 wickets,Dublin (Malahide),
492,18-09-2019,India,South Africa,India,7 wickets,Mohali,
493,19-09-2019,Netherlands,Scotland,Scotland,6 wickets,Dublin (Malahide),
494,20-09-2019,Afghanistan,Zimbabwe,Zimbabwe,7 wickets,Chattogram,
495,20-09-2019,Ireland,Scotland,Ireland,1 run,Dublin (Malahide),
496,21-09-2019,Bangladesh,Afghanistan,Bangladesh,4 wickets,Chattogram,
497,22-09-2019,India,South Africa,South Africa,9 wickets,Bengaluru,
498,27-09-2019,Nepal,Zimbabwe,Zimbabwe,5 wickets,Singapore,
499,28-09-2019,Singapore,Nepal,Nepal,9 wickets,Singapore,
500,29-09-2019,Malaysia,Vanuatu,Vanuatu,17 runs,Kuala Lumpur,
501,29-09-2019,Singapore,Zimbabwe,Singapore,4 runs,Singapore,
502,01-10-2019,Nepal,Zimbabwe,Zimbabwe,40 runs,Singapore,
503,02-10-2019,Malaysia,Vanuatu,Malaysia,26 runs,Kuala Lumpur,
504,03-10-2019,Malaysia,Vanuatu,Vanuatu,6 wickets,Kuala Lumpur,
505,03-10-2019,Singapore,Zimbabwe,Zimbabwe,8 wickets,Singapore,
506,03-10-2019,Argentina,Mexico,Argentina,9 wickets,Cortijo Polo Club Pitch A,
507,03-10-2019,Brazil,Chile,Brazil,35 runs,Cortijo Polo Club Pitch B,
508,03-10-2019,Peru,Brazil,Peru,2 runs,Cortijo Polo Club Pitch A,
509,04-10-2019,Malaysia,Vanuatu,Malaysia,22 runs,Kuala Lumpur,
510,04-10-2019,Chile,Mexico,Chile,4 wickets,Cortijo Polo Club Pitch A,
511,04-10-2019,Peru,Argentina,Argentina,7 wickets,Cortijo Polo Club Pitch B,
512,04-10-2019,Argentina,Brazil,Argentina,29 runs,Cortijo Polo Club Pitch A,
513,05-10-2019,Oman,Hong Kong,Oman,7 wickets,Al Amerat,
514,05-10-2019,Ireland,Netherlands,Ireland,6 wickets,Al Amerat,
515,05-10-2019,Argentina,Chile,Argentina,28 runs,Cortijo Polo Club Pitch A,
516,05-10-2019,Peru,Mexico,Mexico,39 runs,Cortijo Polo Club Pitch B,
517,05-10-2019,Pakistan,Sri Lanka,Sri Lanka,64 runs,Lahore,
518,05-10-2019,Peru,Chile,Peru,60 runs,Cortijo Polo Club Pitch A,
519,05-10-2019,Brazil,Mexico,Mexico,20 runs,Cortijo Polo Club Pitch B,
520,06-10-2019,Oman,Ireland,Oman,43 runs,Al Amerat,
521,06-10-2019,Hong Kong,Nepal,Nepal,4 wickets,Al Amerat,
522,06-10-2019,Argentina,Mexico,Argentina,4 wickets,Lima Cricket and Football,
523,07-10-2019,Nepal,Netherlands,Nepal,4 wickets,Al Amerat,
524,07-10-2019,Hong Kong,Ireland,Ireland,66 runs,Al Amerat,
525,07-10-2019,Pakistan,Sri Lanka,Sri Lanka,35 runs,Lahore,
526,09-10-2019,Ireland,Nepal,Ireland,13 runs,Al Amerat,
527,09-10-2019,Oman,Netherlands,Oman,7 wickets,Al Amerat,
528,09-10-2019,Pakistan,Sri Lanka,Sri Lanka,13 runs,Lahore,
529,09-10-2019,Qatar,Jersey,Qatar,20 runs,Doha,
530,10-10-2019,Hong Kong,Netherlands,Netherlands,37 runs,Al Amerat,
531,10-10-2019,Oman,Nepal,Oman,6 wickets,Al Amerat,
532,10-10-2019,Qatar,Jersey,Qatar,6 wickets,Doha,
533,11-10-2019,Qatar,Jersey,Qatar,8 wickets,Doha,
534,14-10-2019,Bulgaria,Serbia,Bulgaria,6 wickets,Corfu,
535,15-10-2019,Greece,Serbia,Greece,10 wickets,Corfu,
536,16-10-2019,Greece,Bulgaria,Greece,9 wickets,Corfu,
537,18-10-2019,Malta,Czech Rep.,Czech Rep.,12 runs,Marsa,
538,18-10-2019,Scotland,Singapore,Singapore,2 runs,ICCA Dubai,
539,18-10-2019,Hong Kong,Ireland,Ireland,8 wickets,Abu Dhabi,
540,18-10-2019,Kenya,Netherlands,Netherlands,30 runs,ICCA Dubai,
541,18-10-2019,Greece,Bulgaria,Bulgaria,18 runs,Corfu,
542,18-10-2019,U.A.E.,Oman,Oman,7 wickets,Abu Dhabi,
543,19-10-2019,Bermuda,P.N.G.,P.N.G.,10 wickets,ICCA Dubai,
544,19-10-2019,Jersey,Nigeria,Jersey,69 runs,Abu Dhabi,
545,19-10-2019,Namibia,Netherlands,Netherlands,44 runs,ICCA Dubai,
546,19-10-2019,Kenya,Scotland,Scotland,31 runs,ICCA 2 Dubai,
547,19-10-2019,U.A.E.,Ireland,U.A.E.,5 wickets,Abu Dhabi,
548,20-10-2019,Malta,Czech Rep.,Czech Rep.,82 runs,Marsa,
549,20-10-2019,Namibia,P.N.G.,P.N.G.,81 runs,ICCA 2 Dubai,
550,20-10-2019,Canada,Jersey,Canada,53 runs,Tolerance Oval,
551,20-10-2019,Bermuda,Singapore,Singapore,5 wickets,ICCA 2 Dubai,
552,20-10-2019,Hong Kong,Oman,Oman,7 wickets,Abu Dhabi,
553,21-10-2019,P.N.G.,Scotland,Scotland,4 runs,ICCA Dubai,
554,21-10-2019,U.A.E.,Hong Kong,U.A.E.,8 wickets,Abu Dhabi,
555,21-10-2019,Ireland,Oman,Ireland,35 runs,Tolerance Oval,
556,21-10-2019,Bermuda,Kenya,Kenya,45 runs,ICCA Dubai,
557,21-10-2019,Canada,Nigeria,Canada,50 runs,Abu Dhabi,
558,22-10-2019,Namibia,Scotland,Namibia,24 runs,ICCA Dubai,
559,22-10-2019,Netherlands,Singapore,Netherlands,5 wickets,ICCA Dubai,
560,22-10-2019,U.A.E.,Jersey,Jersey,35 runs,Tolerance Oval,
561,23-10-2019,Bermuda,Namibia,Namibia,6 wickets,ICCA 2 Dubai,
562,23-10-2019,Nigeria,Oman,Oman,7 wickets,Tolerance Oval,
563,23-10-2019,Kenya,Singapore,Kenya,7 wickets,ICCA 2 Dubai,
564,23-10-2019,Canada,Ireland,Canada,10 runs,Abu Dhabi,
565,23-10-2019,Hong Kong,Jersey,Hong Kong,8 runs,Abu Dhabi,
566,24-10-2019,Netherlands,P.N.G.,P.N.G.,5 wickets,ICCA Dubai,
567,24-10-2019,U.A.E.,Nigeria,U.A.E.,5 wickets,Tolerance Oval,
568,24-10-2019,Canada,Hong Kong,Hong Kong,32 runs,Tolerance Oval,
569,24-10-2019,Bermuda,Scotland,Scotland,46 runs,Dubai (DSC),
570,25-10-2019,P.N.G.,Singapore,P.N.G.,43 runs,Dubai (DSC),
571,25-10-2019,Ireland,Jersey,Ireland,8 wickets,Tolerance Oval,
572,25-10-2019,Kenya,Namibia,Namibia,87 runs,Dubai (DSC),
573,25-10-2019,Spain,Portugal,Spain,8 wickets,Cartagena,
574,25-10-2019,Canada,Oman,Oman,8 wickets,Abu Dhabi,
575,26-10-2019,Ireland,Nigeria,Ireland,8 wickets,Abu Dhabi,
576,26-10-2019,Gibraltar,Portugal,Portugal,6 wickets,Cartagena,
577,26-10-2019,Bermuda,Netherlands,Netherlands,92 runs,Dubai (DSC),
578,26-10-2019,Spain,Gibraltar,Spain,8 wickets,Cartagena,
579,26-10-2019,Spain,Portugal,Spain,29 runs,Cartagena,
580,26-10-2019,Namibia,Singapore,Namibia,87 runs,Dubai (DSC),
581,27-10-2019,Australia,Sri Lanka,Australia,134 runs,Adelaide,
582,27-10-2019,Kenya,P.N.G.,P.N.G.,45 runs,Dubai (DSC),
583,27-10-2019,Hong Kong,Nigeria,Hong Kong,5 wickets,Tolerance Oval,
584,27-10-2019,Gibraltar,Portugal,Portugal,4 wickets,Cartagena,
585,27-10-2019,Jersey,Oman,Jersey,14 runs,Abu Dhabi,
586,27-10-2019,Netherlands,Scotland,Netherlands,4 wickets,Dubai (DSC),
587,27-10-2019,Spain,Gibraltar,Spain,6 wickets,Cartagena,
588,27-10-2019,U.A.E.,Canada,U.A.E.,14 runs,Abu Dhabi,
589,29-10-2019,U.A.E.,Netherlands,Netherlands,8 wickets,Dubai (DSC),
590,29-10-2019,Namibia,Oman,Namibia,54 runs,Dubai (DSC),
591,30-10-2019,Australia,Sri Lanka,Australia,9 wickets,Brisbane,
592,30-10-2019,U.A.E.,Scotland,Scotland,90 runs,Dubai (DSC),
593,30-10-2019,Hong Kong,Oman,Oman,12 runs,Dubai (DSC),
594,31-10-2019,Oman,Scotland,Scotland,5 wickets,ICCA Dubai,
595,01-11-2019,New Zealand,England,England,7 wickets,Christchurch,
596,01-11-2019,Australia,Sri Lanka,Australia,7 wickets,Melbourne,
597,01-11-2019,Ireland,Netherlands,Netherlands,21 runs,Dubai (DSC),
598,01-11-2019,Namibia,P.N.G.,P.N.G.,18 runs,Dubai (DSC),
599,02-11-2019,Ireland,Namibia,Ireland,27 runs,Dubai (DSC),
600,02-11-2019,Netherlands,P.N.G.,Netherlands,7 wickets,Dubai (DSC),
601,03-11-2019,New Zealand,England,New Zealand,21 runs,Wellington,
602,03-11-2019,Australia,Pakistan,no result,,Sydney,
603,03-11-2019,India,Bangladesh,Bangladesh,7 wickets,Delhi,
604,05-11-2019,New Zealand,England,New Zealand,14 runs,Nelson,
605,05-11-2019,Australia,Pakistan,Australia,7 wickets,Canberra,
606,06-11-2019,Malawi,Mozambique,Malawi,3 wickets,Lilongwe,
607,06-11-2019,Malawi,Mozambique,Malawi,7 wickets,Lilongwe,
608,07-11-2019,Malawi,Mozambique,Malawi,25 runs,Lilongwe,
609,07-11-2019,Malawi,Mozambique,Malawi,4 wickets,Lilongwe,
610,07-11-2019,India,Bangladesh,India,8 wickets,Rajkot,
611,08-11-2019,New Zealand,England,England,76 runs,Napier,
612,08-11-2019,Australia,Pakistan,Australia,10 wickets,Perth,
613,09-11-2019,Malawi,Mozambique,Malawi,15 runs,Blantyre,
614,09-11-2019,Malawi,Mozambique,no result,,Blantyre,
615,10-11-2019,New Zealand,England,tied,,Auckland,
616,10-11-2019,Malawi,Mozambique,Mozambique,11 runs,Blantyre,
617,10-11-2019,India,Bangladesh,India,30 runs,Nagpur,
618,14-11-2019,Afghanistan,West Indies,West Indies,30 runs,Lucknow,
619,16-11-2019,Afghanistan,West Indies,Afghanistan,41 runs,Lucknow,
620,17-11-2019,Afghanistan,West Indies,Afghanistan,29 runs,Lucknow,
621,05-12-2019,Nepal,Bhutan,Nepal,141 runs,Kirtipur,
622,06-12-2019,Nepal,Maldives,Nepal,84 runs,Kirtipur,
623,06-12-2019,India,West Indies,India,6 wickets,Hyderabad (Deccan),
624,07-12-2019,Bhutan,Maldives,Maldives,8 wickets,Kirtipur,
625,08-12-2019,India,West Indies,West Indies,8 wickets,Thiruvananthapuram,
626,09-12-2019,Nepal,Maldives,Nepal,5 wickets,Kirtipur,
627,11-12-2019,India,West Indies,India,67 runs,Wankhede,
628,05-01-2020,India,Sri Lanka,no result,,Guwahati,
629,07-01-2020,India,Sri Lanka,India,7 wickets,Indore,
630,10-01-2020,India,Sri Lanka,India,78 runs,Pune,
631,15-01-2020,West Indies,Ireland,Ireland,4 runs,St George's,
632,18-01-2020,West Indies,Ireland,no result,,Basseterre,
633,19-01-2020,West Indies,Ireland,West Indies,9 wickets,Basseterre,
634,24-01-2020,New Zealand,India,India,6 wickets,Auckland,
635,24-01-2020,Pakistan,Bangladesh,Pakistan,5 wickets,Lahore,
636,25-01-2020,Pakistan,Bangladesh,Pakistan,9 wickets,Lahore,
637,26-01-2020,New Zealand,India,India,7 wickets,Auckland,
638,29-01-2020,New Zealand,India,tied,,Hamilton,
639,31-01-2020,New Zealand,India,tied,,Wellington,
640,02-02-2020,New Zealand,India,India,7 runs,Mount Maunganui,
641,12-02-2020,Qatar,Uganda,Qatar,40 runs,Doha,
642,12-02-2020,South Africa,England,South Africa,1 run,East London,
643,13-02-2020,Qatar,Uganda,Qatar,28 runs,Doha,
644,14-02-2020,South Africa,England,England,2 runs,Durban,
645,15-02-2020,Qatar,Uganda,Uganda,18 runs,Doha,
646,16-02-2020,South Africa,England,England,5 wickets,Centurion,
647,20-02-2020,Malaysia,Hong Kong,Malaysia,21 runs,Kuala Lumpur,
648,21-02-2020,Malaysia,Hong Kong,Malaysia,35 runs,Kuala Lumpur,
649,21-02-2020,South Africa,Australia,Australia,107 runs,Johannesburg,
650,23-02-2020,Iran,U.A.E.,U.A.E.,10 wickets,Al Amerat,
651,23-02-2020,Maldives,Qatar,Qatar,106 runs,Al Amerat,
652,23-02-2020,Kuwait,Saudi Arabia,Kuwait,9 wickets,Al Amerat,
653,23-02-2020,Oman,Bahrain,Oman,8 wickets,Al Amerat,
654,23-02-2020,Malaysia,Hong Kong,Malaysia,8 runs,Kuala Lumpur,
655,23-02-2020,South Africa,Australia,South Africa,12 runs,Gqeberha,
656,24-02-2020,Iran,Saudi Arabia,Saudi Arabia,9 wickets,Al Amerat,
657,24-02-2020,Oman,Qatar,Qatar,34 runs,Al Amerat,
658,24-02-2020,Malaysia,Hong Kong,Malaysia,13 runs,Kuala Lumpur,
659,24-02-2020,Bahrain,Maldives,Bahrain,65 runs,Al Amerat,
660,24-02-2020,Kuwait,U.A.E.,U.A.E.,47 runs,Al Amerat,
661,25-02-2020,Oman,Maldives,Oman,10 wickets,Al Amerat,
662,25-02-2020,Saudi Arabia,U.A.E.,U.A.E.,12 runs,Al Amerat,
663,25-02-2020,Bahrain,Qatar,Bahrain,6 wickets,Al Amerat,
664,25-02-2020,Iran,Kuwait,Kuwait,8 wickets,Al Amerat,
665,26-02-2020,Malaysia,Hong Kong,Malaysia,6 wickets,Kuala Lumpur,
666,26-02-2020,Bahrain,Kuwait,Kuwait,87 runs,Al Amerat,
667,26-02-2020,Qatar,U.A.E.,U.A.E.,28 runs,Al Amerat,
668,26-02-2020,South Africa,Australia,Australia,97 runs,Cape Town,
669,27-02-2020,Kuwait,U.A.E.,U.A.E.,102 runs,Al Amerat,
670,29-02-2020,Thailand,Singapore,Singapore,43 runs,Bangkok,
671,29-02-2020,Malaysia,Nepal,Malaysia,22 runs,Bangkok,
672,01-03-2020,Hong Kong,Nepal,Hong Kong,43 runs,Bangkok,
673,01-03-2020,Thailand,Malaysia,Malaysia,8 wickets,Bangkok,
674,03-03-2020,Malaysia,Singapore,Singapore,128 runs,Bangkok,
675,03-03-2020,Thailand,Hong Kong,Hong Kong,8 wickets,Bangkok,
676,04-03-2020,Thailand,Nepal,Nepal,9 wickets,Bangkok,
677,04-03-2020,Hong Kong,Singapore,Singapore,16 runs,Bangkok,
678,04-03-2020,Sri Lanka,West Indies,West Indies,25 runs,Pallekele,
679,06-03-2020,Hong Kong,Malaysia,Hong Kong,6 wickets,Bangkok,
680,06-03-2020,Afghanistan,Ireland,Afghanistan,11 runs,Greater Noida,
681,06-03-2020,Sri Lanka,West Indies,West Indies,7 wickets,Pallekele,
682,08-03-2020,Afghanistan,Ireland,Afghanistan,21 runs,Greater Noida,
683,08-03-2020,Spain,Germany,Spain,9 wickets,Almeria,
684,08-03-2020,Spain,Germany,Germany,58 runs,Almeria,
685,09-03-2020,Bangladesh,Zimbabwe,Bangladesh,48 runs,Mirpur,
686,10-03-2020,Afghanistan,Ireland,tied,,Greater Noida,
687,11-03-2020,Bangladesh,Zimbabwe,Bangladesh,9 wickets,Mirpur,
688,21-08-2020,Guernsey,Isle of Man,Guernsey,8 wickets,St Peter Port,
689,28-08-2020,Luxembourg,Czech Rep.,Luxembourg,63 runs,Walferdange,
690,28-08-2020,England,Pakistan,no result,,Manchester,
691,29-08-2020,Luxembourg,Czech Rep.,Czech Rep.,5 wickets,Walferdange,
692,29-08-2020,Luxembourg,Belgium,Belgium,37 runs,Walferdange,
693,29-08-2020,Belgium,Czech Rep.,Belgium,46 runs,Walferdange,
694,30-08-2020,Belgium,Czech Rep.,Belgium,87 runs,Walferdange,
695,30-08-2020,Luxembourg,Belgium,Belgium,49 runs,Walferdange,
696,30-08-2020,England,Pakistan,England,5 wickets,Manchester,
697,01-09-2020,England,Pakistan,Pakistan,5 runs,Manchester,
698,04-09-2020,England,Australia,England,2 runs,Southampton,
699,06-09-2020,England,Australia,England,6 wickets,Southampton,
700,08-09-2020,England,Australia,Australia,5 wickets,Southampton,
701,23-09-2020,Bulgaria,Malta,Malta,57 runs,Sofia,
702,23-09-2020,Bulgaria,Malta,Malta,8 wickets,Sofia,
703,24-09-2020,Bulgaria,Malta,no result,,Sofia,
704,16-10-2020,Romania,Bulgaria,Bulgaria,33 runs,Ilfov County,
705,17-10-2020,Romania,Bulgaria,Romania,52 runs,Ilfov County,
706,17-10-2020,Romania,Bulgaria,Romania,34 runs,Ilfov County,
707,18-10-2020,Romania,Bulgaria,Romania,6 wickets,Ilfov County,
708,07-11-2020,Pakistan,Zimbabwe,Pakistan,6 wickets,Rawalpindi,
709,08-11-2020,Pakistan,Zimbabwe,Pakistan,8 wickets,Rawalpindi,
710,10-11-2020,Pakistan,Zimbabwe,Pakistan,8 wickets,Rawalpindi,
711,27-11-2020,New Zealand,West Indies,New Zealand,5 wickets,Auckland,
712,27-11-2020,South Africa,England,England,5 wickets,Cape Town,
713,29-11-2020,New Zealand,West Indies,New Zealand,72 runs,Mount Maunganui,
714,29-11-2020,South Africa,England,England,4 wickets,Paarl,
715,30-11-2020,New Zealand,West Indies,no result,,Mount Maunganui,
716,01-12-2020,South Africa,England,England,9 wickets,Cape Town,
717,04-12-2020,Australia,India,India,11 runs,Canberra,
718,06-12-2020,Australia,India,India,6 wickets,Sydney,
719,08-12-2020,Australia,India,Australia,12 runs,Sydney,
720,18-12-2020,New Zealand,Pakistan,New Zealand,5 wickets,Auckland,
721,20-12-2020,New Zealand,Pakistan,New Zealand,9 wickets,Hamilton,
722,22-12-2020,New Zealand,Pakistan,Pakistan,4 wickets,Napier,
723,17-10-2021,Oman,Papua New Guinea,Oman,10 wickets,Al Amerat,
724,17-10-2021,Bangladesh,Scotland,Scotland,6 runs,Al Amerat,
725,18-10-2021,Ireland,Netherands,Ireland,7 wickets,Abu Dhabi,
726,18-10-2021,Sri Lanka,Namibia,Sri Lanka,7 wickets,Abu Dhabi,
727,19-10-2021,Scotland,Papua New Guinea,Scotland,17 runs,Al Amerat,
728,19-10-2021,Oman,Bangladesh,Bangladesh,26 runs,Al Amerat,
729,20-10-2021,Namibia,Netherlands,Namibia,6 wickets,Abu Dhabi,
730,20-10-2021,Sri Lanka,Ireland,Sri Lanka,70 runs,Abu Dhabi,
731,21-10-2021,Bangladesh,Papua New Guinea,Bangladesh, 84 runs,Al Amerat,
732,21-10-2021,Oman,Scotland,Scotland,8 wickets,Al Amerat,
733,22-10-2021,Namibia,Ireland,Namibia,8 wickets,Sharjah,
734,22-10-2021,Sri Lanka,Netherlands,Sri Lanka,8 wickets,Sharjah,
