,Date,Team_1,Team_2,Winner,Margin,Ground,Winner 
167,23-03-2016,India,Bangladesh,India,1 run,Bengaluru,
168,25-03-2016,Australia,Pakistan,Australia,21 runs,Mohali,
169,25-03-2016,South Africa,West Indies,West Indies,3 wickets,Nagpur,
170,26-03-2016,New Zealand,Bangladesh,New Zealand,75 runs,Kolkata,
171,26-03-2016,England,Sri Lanka,England,10 runs,Delhi,
172,27-03-2016,West Indies,Afghanistan,Afghanistan,6 runs,Nagpur,
173,27-03-2016,India,Australia,India,6 wickets,Mohali,
174,28-03-2016,South Africa,Sri Lanka,South Africa,8 wickets,Delhi,
175,30-03-2016,England,New Zealand,England,7 wickets,Delhi,
176,31-03-2016,West Indies,India,West Indies,7 wickets,Mumbai,
177,04-03-2016,England,West Indies,West Indies,4 wickets,Kolkata,
178,03-01-2017,New Zealand,Bangladesh,New Zealand,6 wickets,Napier,
179,06-01-2017,New Zealand,Bangladesh,New Zealand,47 runs,Mount Maunganui,
180,08-01-2017,New Zealand,Bangladesh,New Zealand,27 runs,Mount Maunganui,
181,14-01-2017,Hong Kong,Scotland,Scotland,24 runs,Abu Dhabi,
182,14-01-2017,Afghanistan,Ireland,Afghanistan,5 wickets,Abu Dhabi,
183,15-01-2017,Netherlands,Oman,Netherlands,5 wickets,Abu Dhabi,
184,16-01-2017,Hong Kong,Oman,Oman,7 wickets,Abu Dhabi,
185,16-01-2017,U.A.E.,Afghanistan,Afghanistan,5 wickets,Abu Dhabi,
186,17-01-2017,Netherlands,Scotland,Scotland,7 runs,Abu Dhabi,
187,18-01-2017,U.A.E.,Ireland,Ireland,24 runs,Dubai (DSC),
188,18-01-2017,Hong Kong,Netherlands,Hong Kong,91 runs,Dubai (DSC),
189,19-01-2017,Oman,Scotland,Scotland,7 wickets,Dubai (DSC),
190,20-01-2017,Afghanistan,Oman,Afghanistan,8 wickets,Dubai (DSC),
191,20-01-2017,Ireland,Scotland,Ireland,98 runs,Dubai (DSC),
192,20-01-2017,Afghanistan,Ireland,Afghanistan,10 wickets,Dubai (DSC),
193,20-01-2017,South Africa,Sri Lanka,South Africa,19 runs,Centurion,
194,22-01-2017,South Africa,Sri Lanka,Sri Lanka,3 wickets,Johannesburg,
195,25-01-2017,South Africa,Sri Lanka,Sri Lanka,5 wickets,Cape Town,
196,26-01-2017,India,England,England,7 wickets,Kanpur,
197,29-01-2017,India,England,India,5 runs,Nagpur,
198,01-02-2017,India,England,India,75 runs,Bengaluru,
199,17-02-2017,New Zealand,South Africa,South Africa,78 runs,Auckland,
200,17-02-2017,Australia,Sri Lanka,Sri Lanka,5 wickets,Melbourne,
201,19-02-2017,Australia,Sri Lanka,Sri Lanka,2 wickets,Geelong,
202,22-02-2017,Australia,Sri Lanka,Australia,41 runs,Adelaide,
203,08-03-2017,Afghanistan,Ireland,Afghanistan,6 wickets,Greater Noida,
204,10-03-2017,Afghanistan,Ireland,Afghanistan,17 runs,Greater Noida,
205,12-03-2017,Afghanistan,Ireland,Afghanistan,28 runs,Greater Noida,
206,26-03-2017,West Indies,Pakistan,Pakistan,6 wickets,Bridgetown,
207,30-03-2017,West Indies,Pakistan,Pakistan,3 runs,Port of Spain,
208,01-04-2017,West Indies,Pakistan,West Indies,7 wickets,Port of Spain,
209,02-04-2017,West Indies,Pakistan,Pakistan,7 wickets,Port of Spain,
210,04-04-2017,Sri Lanka,Bangladesh,Sri Lanka,6 wickets,Colombo (RPS),
211,06-04-2017,Sri Lanka,Bangladesh,Bangladesh,45 runs,Colombo (RPS),
212,12-04-2017,U.A.E.,P.N.G.,U.A.E.,5 wickets,Abu Dhabi,
213,14-04-2017,U.A.E.,P.N.G.,U.A.E.,30 runs,Abu Dhabi,
214,14-04-2017,U.A.E.,P.N.G.,U.A.E.,5 wickets,Abu Dhabi,
215,02-06-2017,West Indies,Afghanistan,West Indies,6 wickets,Basseterre,
216,03-06-2017,West Indies,Afghanistan,West Indies,29 runs,Basseterre,
217,05-06-2017,West Indies,Afghanistan,West Indies,7 wickets,Basseterre,
218,21-06-2017,England,South Africa,England,9 wickets,Southampton,
219,23-06-2017,England,South Africa,South Africa,3 runs,Taunton,
220,25-06-2017,England,South Africa,England,19 runs,Cardiff,
221,09-07-2017,West Indies,India,West Indies,9 wickets,Kingston,
222,06-09-2017,Sri Lanka,India,India,7 wickets,Colombo (RPS),
223,12-09-2017,Pakistan,World-XI,Pakistan,20 runs,Lahore,
224,13-09-2017,Pakistan,World-XI,World-XI,7 wickets,Lahore,
225,15-09-2017,Pakistan,World-XI,Pakistan,33 runs,Lahore,
226,16-09-2017,England,West Indies,West Indies,21 runs,Chester-le-Street,
227,07-10-2017,India,Australia,India,9 wickets,Ranchi,
228,10-10-2017,India,Australia,Australia,8 wickets,Guwahati,
229,26-10-2017,Pakistan,Sri Lanka,Pakistan,7 wickets,Abu Dhabi,
230,26-10-2017,South Africa,Bangladesh,South Africa,20 runs,Bloemfontein,
231,27-10-2017,Pakistan,Sri Lanka,Pakistan,2 wickets,Abu Dhabi,
232,29-10-2017,South Africa,Bangladesh,South Africa,83 runs,Potchefstroom,
233,29-10-2017,Pakistan,Sri Lanka,Pakistan,36 runs,Lahore,
234,01-11-2017,India,New Zealand,India,53 runs,Delhi,
235,04-11-2017,India,New Zealand,New Zealand,40 runs,Rajkot,
236,07-11-2017,India,New Zealand,India,6 runs,Thiruvananthapuram,
237,20-12-2017,India,Sri Lanka,India,93 runs,Cuttack,
238,22-12-2017,India,Sri Lanka,India,88 runs,Indore,
239,24-12-2017,India,Sri Lanka,India,5 wickets,Wankhede,
240,29-12-2017,New Zealand,West Indies,New Zealand,47 runs,Nelson,
241,01-01-2018,New Zealand,West Indies,no result,,Mount Maunganui,
242,03-01-2018,New Zealand,West Indies,New Zealand,119 runs,Mount Maunganui,
243,22-01-2018,New Zealand,Pakistan,New Zealand,7 wickets,Wellington,
244,25-01-2018,New Zealand,Pakistan,Pakistan,48 runs,Auckland,
245,28-01-2018,New Zealand,Pakistan,Pakistan,18 runs,Mount Maunganui,
246,03-02-2018,Australia,New Zealand,Australia,7 wickets,Sydney,
247,05-02-2018,Afghanistan,Zimbabwe,Afghanistan,5 wickets,Sharjah,
248,06-02-2018,Afghanistan,Zimbabwe,Afghanistan,17 runs,Sharjah,
249,07-02-2018,Australia,England,Australia,5 wickets,Hobart,
250,10-02-2018,Australia,England,Australia,7 wickets,Melbourne,
251,13-02-2018,New Zealand,England,New Zealand,12 runs,Wellington,
252,15-02-2018,Bangladesh,Sri Lanka,Sri Lanka,6 wickets,Mirpur,
253,16-02-2018,New Zealand,Australia,Australia,5 wickets,Auckland,
254,18-02-2018,New Zealand,England,England,2 runs,Hamilton,
255,18-02-2018,Bangladesh,Sri Lanka,Sri Lanka,75 runs,Sylhet,
256,18-02-2018,South Africa,India,India,28 runs,Johannesburg,
257,21-02-2018,New Zealand,Australia,Australia,19 runs,Auckland,
258,21-02-2018,South Africa,India,South Africa,6 wickets,Centurion,
259,24-02-2018,South Africa,India,India,7 runs,Cape Town,
260,06-03-2018,Sri Lanka,India,Sri Lanka,5 wickets,Colombo (RPS),
261,08-03-2018,Bangladesh,India,India,6 wickets,Colombo (RPS),
262,10-03-2018,Sri Lanka,Bangladesh,Bangladesh,5 wickets,Colombo (RPS),
